epochtime;chamber temp;chamber humidity;fluke temp;fluke humidity;sensor serial;sensor temp;sensor hum;sensor temp tolerance;sensor hum tolerance;sensor serial;sensor temp;sensor hum;sensor temp tolerance;sensor hum tolerance;sensor serial;sensor temp;sensor hum;sensor temp tolerance;sensor hum tolerance;sensor serial;sensor temp;sensor hum;sensor temp tolerance;sensor hum tolerance;
1486465060;0;0;-0.15;50.1;2016102800042;2.09;56.92;0;0;2016102800089;-0.44;46.68;1;0;2016102800152;-0.38;41.92;1;0;2016102800153;-0.13;46.61;1;0;
1486465072;0;0;-0.15;50.0;2016102800042;2.10;56.89;0;0;2016102800089;-0.44;46.66;1;0;2016102800152;-0.38;41.89;1;0;2016102800153;-0.13;46.55;1;0;
1486465083;0;0;-0.15;50.0;2016102800042;2.10;56.92;0;0;2016102800089;-0.44;46.66;1;0;2016102800152;-0.38;41.86;1;0;2016102800153;-0.13;46.55;1;0;
1486465094;0;0;-0.15;50.0;2016102800042;2.09;56.86;0;0;2016102800089;-0.44;46.63;1;0;2016102800152;-0.38;41.81;1;0;2016102800153;-0.13;46.55;1;0;
1486465105;0;0;-0.16;50.0;2016102800042;2.09;56.89;0;0;2016102800089;-0.44;46.60;1;0;2016102800152;-0.38;41.81;1;0;2016102800153;-0.13;46.55;1;0;
1486465116;0;0;-0.15;50.0;2016102800042;2.09;56.86;0;0;2016102800089;-0.44;46.60;1;0;2016102800152;-0.38;41.81;1;0;2016102800153;-0.13;46.55;1;0;
1486465128;0;0;-0.16;49.9;2016102800042;2.10;56.80;0;0;2016102800089;-0.44;46.55;1;0;2016102800152;-0.38;41.75;1;0;2016102800153;-0.13;46.55;1;0;
1486465139;0;0;-0.16;49.9;2016102800042;2.08;56.80;0;0;2016102800089;-0.44;46.55;1;0;2016102800152;-0.38;41.73;1;0;2016102800153;-0.13;46.55;1;0;
1486465150;0;0;-0.16;49.9;2016102800042;2.09;56.77;0;0;2016102800089;-0.44;46.52;1;0;2016102800152;-0.38;41.69;1;0;2016102800153;-0.13;46.49;1;0;
1486465161;0;0;-0.17;49.9;2016102800042;2.08;56.80;0;0;2016102800089;-0.44;46.52;1;0;2016102800152;-0.38;41.73;1;0;2016102800153;-0.13;46.49;1;0;
1486465172;0;0;-0.17;49.8;2016102800042;2.09;56.83;0;0;2016102800089;-0.44;46.52;1;0;2016102800152;-0.38;41.73;1;0;2016102800153;-0.13;46.49;1;0;
1486465183;0;0;-0.17;49.8;2016102800042;2.08;56.80;0;0;2016102800089;-0.44;46.49;1;0;2016102800152;-0.38;41.73;1;0;2016102800153;-0.13;46.49;1;0;
1486465195;0;0;-0.17;49.8;2016102800042;2.08;56.74;0;0;2016102800089;-0.44;46.46;1;0;2016102800152;-0.38;41.69;1;0;2016102800153;-0.13;46.44;1;0;
1486465206;0;0;-0.17;49.8;2016102800042;2.08;56.74;0;0;2016102800089;-0.44;46.44;1;0;2016102800152;-0.38;41.64;1;0;2016102800153;-0.13;46.44;1;0;
1486465217;0;0;-0.17;49.8;2016102800042;2.08;56.74;0;0;2016102800089;-0.44;46.44;1;0;2016102800152;-0.38;41.64;1;0;2016102800153;-0.13;46.44;1;0;
1486465228;0;0;-0.17;49.8;2016102800042;2.08;56.71;0;0;2016102800089;-0.44;46.41;1;0;2016102800152;-0.38;41.62;1;0;2016102800153;-0.13;46.42;1;0;
1486465239;0;0;-0.18;49.8;2016102800042;2.07;56.71;0;0;2016102800089;-0.44;46.39;1;0;2016102800152;-0.38;41.59;1;0;2016102800153;-0.13;46.39;1;0;
1486465250;0;0;-0.18;49.7;2016102800042;2.08;56.68;0;0;2016102800089;-0.44;46.39;1;0;2016102800152;-0.38;41.59;1;0;2016102800153;-0.13;46.39;1;0;
1486465262;0;0;-0.18;49.7;2016102800042;2.08;56.65;0;0;2016102800089;-0.44;46.36;1;0;2016102800152;-0.38;41.56;1;0;2016102800153;-0.13;46.36;1;0;
1486465273;0;0;-0.18;49.7;2016102800042;2.08;56.65;0;0;2016102800089;-0.44;46.33;1;0;2016102800152;-0.38;41.50;1;0;2016102800153;-0.13;46.33;1;0;
1486465284;0;0;-0.18;49.7;2016102800042;2.07;56.60;0;0;2016102800089;-0.44;46.28;1;0;2016102800152;-0.38;41.45;1;0;2016102800153;-0.13;46.31;1;0;
1486465295;0;0;-0.18;49.7;2016102800042;2.08;56.60;0;0;2016102800089;-0.44;46.25;1;0;2016102800152;-0.38;41.45;1;0;2016102800153;-0.13;46.28;1;0;
1486465306;0;0;-0.18;49.6;2016102800042;2.08;56.54;0;0;2016102800089;-0.44;46.22;1;0;2016102800152;-0.38;41.40;1;0;2016102800153;-0.13;46.25;1;0;
1486465317;0;0;-0.19;49.6;2016102800042;2.06;56.54;0;0;2016102800089;-0.44;46.20;1;0;2016102800152;-0.38;41.40;1;0;2016102800153;-0.13;46.23;1;0;
1486465329;0;0;-0.19;49.6;2016102800042;2.06;56.54;0;0;2016102800089;-0.44;46.17;1;0;2016102800152;-0.38;41.37;1;0;2016102800153;-0.13;46.23;1;0;
1486465340;0;0;-0.19;49.6;2016102800042;2.07;56.54;0;0;2016102800089;-0.44;46.17;1;0;2016102800152;-0.38;41.37;1;0;2016102800153;-0.13;46.20;1;0;
1486465351;0;0;-0.19;49.5;2016102800042;2.07;56.51;0;0;2016102800089;-0.44;46.13;1;0;2016102800152;-0.38;41.34;1;0;2016102800153;-0.13;46.17;1;0;
1486465362;0;0;-0.19;49.5;2016102800042;2.06;56.48;0;0;2016102800089;-0.44;46.11;1;0;2016102800152;-0.38;41.34;1;0;2016102800153;-0.13;46.17;1;0;
1486465373;0;0;-0.20;49.5;2016102800042;2.06;56.45;0;0;2016102800089;-0.44;46.11;1;0;2016102800152;-0.38;41.26;1;0;2016102800153;-0.13;46.11;1;0;
1486465384;0;0;-0.20;49.5;2016102800042;2.06;56.45;0;0;2016102800089;-0.44;46.08;1;0;2016102800152;-0.38;41.26;1;0;2016102800153;-0.19;46.11;1;0;
1486465396;0;0;-0.20;49.5;2016102800042;2.06;56.45;0;0;2016102800089;-0.44;46.06;1;0;2016102800152;-0.38;41.26;1;0;2016102800153;-0.13;46.11;1;0;
